timestamp,deviceId,tempC,hum%,mq135_raw,rs_r0,co2_ppm,quality,ldr_raw,ldr_v,ldr_pct,light
2025-09-18T00:44:51-06:00,esp32-1,"20,2",74,1503,"2,269",12,Muy buena,218,"0,176",0,Oscuro
2025-09-18T00:45:27-06:00,esp32-1,"19,4",74,1523,"2,222",13,Muy buena,215,"0,173",0,Oscuro
2025-09-18T00:46:02-06:00,esp32-1,19,74,1476,"2,335",11,Muy buena,209,"0,168",0,Oscuro
2025-09-18T00:46:37-06:00,esp32-1,"18,6",74,1386,"2,572",9,Muy buena,404,"0,326",4,Oscuro
2025-09-18T00:47:12-06:00,esp32-1,"18,2",74,1506,"2,262",12,Muy buena,310,"0,25",0,Oscuro
2025-09-18T00:47:46-06:00,esp32-1,"18,2",75,1490,"2,3",12,Muy buena,309,"0,249",0,Oscuro
2025-09-18T00:48:21-06:00,esp32-1,"17,8",76,1513,"2,245",12,Muy buena,335,"0,27",1,Oscuro
2025-09-18T00:48:56-06:00,esp32-1,"17,8",77,1527,"2,213",13,Muy buena,348,"0,28",2,Oscuro
2025-09-18T00:49:31-06:00,esp32-1,"17,8",77,1535,"2,194",13,Muy buena,337,"0,272",1,Oscuro
2025-09-18T00:50:06-06:00,esp32-1,"17,8",77,1526,"2,215",13,Muy buena,332,"0,268",1,Oscuro
2025-09-18T00:50:41-06:00,esp32-1,"17,8",78,1524,"2,22",13,Muy buena,329,"0,265",1,Oscuro
2025-09-18T00:51:16-06:00,esp32-1,"17,8",78,1511,"2,25",12,Muy buena,324,"0,261",1,Oscuro
2025-09-18T00:51:51-06:00,esp32-1,"17,5",78,1482,"2,32",11,Muy buena,306,"0,247",0,Oscuro
2025-09-18T00:52:26-06:00,esp32-1,"17,4",78,1503,"2,269",12,Muy buena,299,"0,241",0,Oscuro
2025-09-18T00:53:01-06:00,esp32-1,"17,4",78,1519,"2,231",13,Muy buena,309,"0,249",0,Oscuro
2025-09-18T00:53:37-06:00,esp32-1,"17,4",78,1525,"2,217",13,Muy buena,308,"0,248",0,Oscuro
2025-09-18T00:54:11-06:00,esp32-1,"17,4",78,1521,"2,227",13,Muy buena,322,"0,259",1,Oscuro
2025-09-18T00:54:46-06:00,esp32-1,"17,4",78,1527,"2,213",13,Muy buena,339,"0,273",1,Oscuro
2025-09-18T00:55:22-06:00,esp32-1,"17,4",78,1525,"2,217",13,Muy buena,348,"0,28",2,Oscuro
2025-09-18T00:55:58-06:00,esp32-1,"17,4",78,1520,"2,229",13,Muy buena,356,"0,287",2,Oscuro
2025-09-18T00:56:32-06:00,esp32-1,"17,4",79,1526,"2,215",13,Muy buena,363,"0,293",2,Oscuro
2025-09-18T00:57:08-06:00,esp32-1,"17,4",79,1529,"2,208",13,Muy buena,381,"0,307",3,Oscuro
2025-09-18T00:57:43-06:00,esp32-1,"17,4",79,1513,"2,245",12,Muy buena,392,"0,316",3,Oscuro
2025-09-18T00:58:17-06:00,esp32-1,"17,4",79,1509,"2,255",12,Muy buena,385,"0,31",3,Oscuro
2025-09-18T00:58:52-06:00,esp32-1,17,79,1491,"2,298",12,Muy buena,369,"0,297",3,Oscuro
2025-09-18T00:59:27-06:00,esp32-1,17,79,1493,"2,293",12,Muy buena,373,"0,301",3,Oscuro
2025-09-18T01:00:03-06:00,esp32-1,"17,4",79,1482,"2,32",11,Muy buena,365,"0,294",2,Oscuro
2025-09-18T01:00:38-06:00,esp32-1,"17,4",80,1471,"2,347",11,Muy buena,361,"0,291",2,Oscuro
2025-09-18T01:01:13-06:00,esp32-1,"17,4",80,1466,"2,36",11,Muy buena,356,"0,287",2,Oscuro
2025-09-18T01:01:48-06:00,esp32-1,"17,4",80,1473,"2,342",11,Muy buena,366,"0,295",2,Oscuro
2025-09-18T01:02:23-06:00,esp32-1,"17,4",80,1484,"2,315",11,Muy buena,378,"0,305",3,Oscuro
2025-09-18T01:02:58-06:00,esp32-1,"17,4",80,1478,"2,33",11,Muy buena,378,"0,305",3,Oscuro
2025-09-18T01:03:34-06:00,esp32-1,"17,4",80,1484,"2,315",11,Muy buena,379,"0,305",3,Oscuro
2025-09-18T01:04:10-06:00,esp32-1,"17,4",79,1465,"2,362",11,Muy buena,364,"0,293",2,Oscuro
2025-09-18T01:04:44-06:00,esp32-1,"17,4",79,1454,"2,39",10,Muy buena,350,"0,282",2,Oscuro
2025-09-18T01:05:19-06:00,esp32-1,"17,4",79,1446,"2,41",10,Muy buena,355,"0,286",2,Oscuro
2025-09-18T01:05:54-06:00,esp32-1,17,79,1434,"2,442",10,Muy buena,351,"0,283",2,Oscuro
2025-09-18T01:06:30-06:00,esp32-1,17,79,1421,"2,476",9,Muy buena,352,"0,284",2,Oscuro
2025-09-18T01:07:04-06:00,esp32-1,17,80,1425,"2,465",10,Muy buena,355,"0,286",2,Oscuro
2025-09-18T01:07:39-06:00,esp32-1,"17,4",80,1426,"2,463",10,Muy buena,357,"0,288",2,Oscuro
2025-09-18T01:08:15-06:00,esp32-1,"17,4",80,1417,"2,487",9,Muy buena,352,"0,284",2,Oscuro
2025-09-18T01:08:50-06:00,esp32-1,17,80,1412,"2,5",9,Muy buena,345,"0,278",2,Oscuro
2025-09-18T01:09:24-06:00,esp32-1,"17,4",80,1422,"2,473",9,Muy buena,346,"0,279",2,Oscuro
2025-09-18T01:09:59-06:00,esp32-1,"17,4",80,1419,"2,481",9,Muy buena,351,"0,283",2,Oscuro
